Камбала в томатн.соусе,100,"12,60","5,40","6,30",125,рыба,,,,,,,,,,,,,,
Камбала гор.копч.,100,"22,00","11,60","0,00",192,рыба,,,,,,,,,,,,,,
Камбала обжаренная в масле,100,"14,40","21,30","0,00",249,рыба,,,,,,,,,,,,,,
Капуста белокочанная,100,"1,80","0,10","4,70",27,овощи,,,,,,,,,,,,,,
Капуста белокочанная жареная,100,"1,80","2,80","4,20",49,овощи,,,,,,,,,,,,,,
Капуста белокочанная отварная,100,"1,40","0,10","3,90",21,овощи,,,,,,,,,,,,,,
Капуста белокочанная тушеная,100,"2,00","3,30","9,60",75,овощи,,,,,,,,,,,,,,
Капуста брокколи,100,"2,70","0,40","4,70",24,овощи,,"139,00",,,,,,,,,,,"0,131",
Капуста брюссельская,100,"4,50","0,50","8,10",34,овощи,"120,00","88,00",,,,,,,,"0,28",31,,,
Капуста брюссельская хортекс,100,"4,60","0,60","8,40",35,овощи,"120,00","88,00",,,,,,,,"0,28",31,,,
Капуста квашеная,100,"1,80","0,10","3,00","19,4",овощи,30,,,,"0,02","0,02","0,4",,,,,,,
Капуста кольраби,100,"2,80","0,00","7,90",42,овощи,,,,,,,,,,,,,,
Капуста краснокочанная,100,"0,80","0,00","5,20",24,овощи,,,,,,,,,,,,,,
Капуста пекинская,100,"1,20","0,20","2,20",16,овощи,,,,,,,,,,,,,,
Капуста Романеско (Бондюэль),100,"2,90","0,50","2,20","24,9",овощи,,,,,,,,,,,,,,
Капуста цветная,100,"2,50","0,30","4,50",30,овощи,"70,00",,,,,,,,,"0,16",23,,,
Капуста цветная отварная,100,"1,80","0,30","4,00",26,овощи,,,,,,,,,,,,,,
Карамель леденцовая,100,"0,00","0,10","95,70",370,сладости,,,,,,,,,,,,,,
Карамель с ликерными начинками,100,"0,00","0,10","92,60",358,сладости,,,,,,,,,,,,,,
Карамель с молочными начинками,100,"0,80","1,00","91,20",363,сладости,,,,,,,,,,,,,,
Карамель с ореховыми начинками,100,"3,10","7,30","86,60",410,сладости,,,,,,,,,,,,,,
Карамель с помадными начинками,100,"0,00","0,10","94,70",366,сладости,,,,,,,,,,,,,,
Карамель с прохладительными начинками,100,"0,00","10,00","88,00",429,сладости,,,,,,,,,,,,,,
Карамель с фруктово-ягодными начинками,100,"0,10","0,10","92,10",357,сладости,,,,,,,,,,,,,,
Карамель с шоколадно-ореховыми начинками,100,"1,80","9,20","86,10",420,сладости,,,,,,,,,,,,,,
Карась,100,"20,70","2,10","0,00",102,рыба,,,,,,,,,,,,,,
Карп,100,"19,40","5,30","0,00",125,рыба,,,,,,,,,,,,,,
Картофель,100,"2,00","0,40","16,30",80,овощи,,,,,,,,,,,,,,
Картофель жареный,100,"2,80","9,50","23,40",192,овощи,,,,,,,,,,,,,,
Картофель отварной,100,"2,00","0,40","16,70",82,овощи,,,,,,,,,,,,,,
Картофельное пюре,100,"2,20","0,80","14,30",74,овощи,,,,,,,,,,,,,,
Картофельные чипсы,100,"2,20","35,40","48,60",531,сладости,,,,,,,,,,,,,,
Катык Долголетие,100,"6,00","3,20","5,70","75,6",молочные,,,,,,,,,,,,,,
Каша геркулесовая молочная,100,"3,20","4,30","14,20",105,"каши, крупы",,,,,,,,,,,,,,
Каша геркулесовая на воде,100,"2,90","1,40","14,80",84,"каши, крупы",,,,,,,,,,,,,,
Каша гречневая вязкая на воде,100,"3,20","0,80","17,10",90,"каши, крупы",,,,,,,,,,,,,,
Каша гречневая рассыпчатая,100,"5,90","1,60","30,60",163,"каши, крупы",,,,,,,,,,,,,,
Каша манная молочная,100,"3,00","3,20","15,30",98,"каши, крупы",,,,,,,,,,,,,,
Каша манная на воде,100,"2,50","0,20","16,80",80,"каши, крупы",,,,,,,,,,,,,,
Каша овсяная молочная,100,"3,20","4,10","14,20",102,"каши, крупы",,,,,,,,,,,,,,
Каша овсяная на воде,100,"3,00","1,70","15,00",88,"каши, крупы",,,,,,,,,,,,,,
Каша перловая рассыпчатая,100,"3,10","0,40","23,00",106,"каши, крупы",,,,,,,,,,,,,,
Каша пшеничная вязкая на воде,100,"3,20","0,30","18,70",92,"каши, крупы",,,,,,,,,,,,,,
Каша пшеничная рассыпчатая,100,"5,00","0,40","27,70",137,"каши, крупы",,,,,,,,,,,,,,
Каша пшенная вязкая на воде,100,"3,00","0,70","17,00",90,"каши, крупы",,,,,,,,,,,,,,
Каша пшенная рассыпчатая,100,"4,70","1,10","26,10",135,"каши, крупы",,,,,,,,,,,,,,
Каша рисовая молочная,100,"2,50","3,10","16,00",97,"каши, крупы",,,,,,,,,,,,,,
Каша рисовая на воде,100,"1,50","0,10","17,40",78,"каши, крупы",,,,,,,,,,,,,,
Каша ячневая вязкая на воде,100,"2,30","0,30","15,70",76,"каши, крупы",,,,,,,,,,,,,,
Каша ячневая рассыпчатая,100,"3,40","0,40","22,10",108,"каши, крупы",,,,,,,,,,,,,,
Каштаны жареные,100,"3,20","2,20","33,80",182,сладости,,,,,,,,,,,,,,
Кедровые орешки,100,"12,00","61,00","12,00",629,орехи,,,,,,,,,,,,,,
Кета,100,"21,50","4,80","0,00",129,рыба,,,,,,,,,,,,,,
Кета соленая,100,"24,30","9,60","0,00",184,рыба,,,,,,,,,,,,,,
Кетчуп,100,"2,10","0,00","14,90",90,прочее,,,,,,,,,,,,,,
Кефир 2.5% жирн.,100,"2,90","2,50","3,90",53,молочные,,,,,,,,,,,,,,
кефир 33 коровы 1%,100,"3,00","1,00","4,05","37,2",молочные,,,,,,,,,,,,,,
Кефир жирный,100,"2,80","3,20","4,10",56,молочные,,,,,,,,,,,,,,
Кефир нежирный,100,"3,00","0,05","3,80",30,молочные,,,,,,,,,,,,,,
кефир Пастушок 1%,100,"3,00","1,00","4,05","37,2",молочные,,,,,,,,,,,,,,
Кешью,100,"25,20","53,60","12,60",633,орехи,,,,,,,,,,,,,,
Киви,100,"1,00","0,60","4,00",51,фрукты,,,,,,,,,,,,,,
Килька балтийская соленая,100,"17,10","7,60","0,00",137,рыба,,,,,,,,,,,,,,
Килька гор.копч.,100,"21,30","8,50","0,00",162,рыба,,,,,,,,,,,,,,
Килька пряного посола,100,"14,80","10,50","0,00",154,рыба,,,,,,,,,,,,,,
